г Москва;;55.696707,37.635521;ЖК "ЗилАрт";ООО ЛСР-Обьект.М;7725549175;Москва, Автозаводская вл.23 лот 1,2;лот 1,2;5644:38:42;Артемова О.А.;6986;1;;;srednerusskiy
г Москва;;55.726787,37.572577;ЖК "Садовые кварталы";ОАО Садовые кварталы;7704698391;Москва, ул Усачева, вл 11, квартла 3, к. 3.3;к. 3.3;77:01:0005010:35;Артемова О.А.;5235;1;;;srednerusskiy
г Москва;;55.755582,37.508894;ЖК "Фили-град";ООО Фили-Девелопмент;7729461891;г. Москва, ЗАО,район Береговой, пр., вл. 5;к. 1А,1Б,2А,2Б,2В,3;77:07:0002003:1005.;Смородская;6071;1;;;srednerusskiy
г Москва;;55.755582,37.508894;ЖК "Фили-град2";ООО Фили-Девелопмент;7729461891;г. Москва, ЗАО,район Береговой, пр., вл. 5;к. 2,3,4,5,6;77:07:0002003:1005.;Смородская;6072;1;;;srednerusskiy
г Москва;;55.839901,37.582494;ЖК "Cleverland";ООО КомБилдинг;7702739638;Москва, СВАО, Марфино ,ул. Комдива Орлова, вл.1.;вл. 1;77:02:00117002:43;Тиханова Т.С.;5163;1;;;srednerusskiy
г Москва;;55.846136,37.368513;ЖК "Life-митинская";ЗАО Инвестиционная компания Гринэкс;7717577210;Г.Москва, район СЗАО, ул.Митинская вл.30;к.1А-2А;77:08:0002008:1023;Евстратова К.Н.;5627;1;;;srednerusskiy
г Москва;г Зеленоград;55.958230,37.207716;ул Садовая ,19 д 1;ООО Ровесник;4461162486;ул Садовая ,19 д 1;д. 19, 1;44:27:080807:281;Казакова Н.Д.;2543;1;;;srednerusskiy
г Москва;г Зеленоград;55.958230,37.207716;ул Садовая ,19 д 2;ООО Ровесник;4461162486;ул Садовая ,19 д 2;д. 19, 2;44:27:080807:281;Казакова Н.Д.;2544;1;;;srednerusskiy
г Москва;г Зеленоград;55.978881,37.171523;ул Привокзальная, 2В;ООО Интер Девелопмент;4824016542;ул Привокзальная, 2В;д. 2В;48:19:6310124:26;Казакова Н.Д.;2664;1;;;srednerusskiy
г Москва;;;ЖК "Панорама";ООО "Проект Панорама";5410042420;Немировича-Данченко 150 стр. дом №3 по ГП;д. 3;54:35:052490:329;Евстратова К.Н.;3548;1;ОН в г.Новосибирск http://www.sastroy.com/objects/panorama;;srednerusskiy
г Москва;рп Киевский;;ЖК "Седьмое небо";ООО РИФТ;7707552922;Г Соснобоборск д 16,очередь.3;очередь3;24:56:02:01007:0023;Артемова О.А.;5346;1;ОН в г.Красноярск http://www.sibdom.ru/novostroyki/sosnovoborsk/513-SEDMOE_NEBO_zh_k_1_korp;;srednerusskiy
г Москва;;;г. Липецк, в районе Елецкого шоссе в Советском округе, жилое здание № II-3;ООО Инкомспецстрой;7716121880;г. Липецк, в районе Елецкого шоссе в Советском округе, жилое здание № II-3;д. II-3;48:20:0010601:206;Артемова О.А.;5614;1;ОН в г.Липецк;;srednerusskiy
г Санкт-Петербург;п Шушары;59.754707,30.366814;ЖК "Образцовый квартал 2";ООО Терминал Ресурс;7820338713;Санкт-Петербург, пос Шушары, Пулковское, уч 569;уч. 569;47:42:1850206:60;Смородская;6695;1;;;severozapadny
г Санкт-Петербург;;59.824470,30.338236;ЖК "4 you";ООО Аквилон СПб;2901259997;г. Санкт-Пербург, Московское шоссе, д.13. литер ЕД;Литер ЕД;78:14:0007637:9789;Тиханова Т.С.;1330;1;;;severozapadny
г Санкт-Петербург;;59.830845,30.244665;ЖК "Трилогия";ООО Оптима групп;7805500432;Санкт-Петербург, проспект Народного Ополчения, дом 149;литер А;18:15:0843801:253;Казакова Н.Д.;6392;1;;;severozapadny
г Санкт-Петербург;;59.841718,30.207731;ЖК "Полежаевский парк";ЗАО Монолит-Кировстрой;7805035496;г.Санкт-Петербург, Кировский р-н, Ульянка, кв. 4Б (4 очередь);78:15:0843402:25;Казакова Н.Д.;;6374;1;;;severozapadny
г Санкт-Петербург;;59.8517,30.1486;ЖК "Жемчужный фрегат-3";ЗАО Балтийская жемчужина;7801377058;Ленинградская область, г. Санкт-Петербург, ул. Адмирала Трибуца, д. 8,;литер А;78:40:0008339:514;Казакова Н.Д.;6304;1;;;severozapadny
г Санкт-Петербург;массив 39 км Мурманского шоссе;59.859079,30.409027;ЖК "София";ООО ЛСР.Недвижимость-Северо-Запад;7826090547;г. Санкт-Петербург, Южное шоссе, уч. 8 (западнее дома 49, литер Ф по Южному шоссе) 1 этап строительства;к. 16;78:13:000742:87;Сергеева Е.С.;6731;1;;;severozapadny
г Санкт-Петербург;;59.863637,30.188750;ЖК "Балтийская волна";ЗАО Рант;7804149243;г. Санкт-Петербург, Ленинский пр-т, уч.2 Севернее пересечения с проспектом Кузнецова), к.3,4;к. 3;9,042395833;;6368;1;;;severozapadny
г Санкт-Петербург;;59.9044,30.3106;ЖК "Г. санкт-петербург ул.красуцкого уч.15";ЗАО ЛенСпецСМУ;7802084569;г. Санкт-Петербург ул.Красуцкого уч.15;уч. 15;78:06:0002059:3175;Казакова Н.Д.;6328;1;;;severozapadny
г Санкт-Петербург;;59.9196,30.3699;ЖК "Царская столица корпус 7б 7в";ЗАО ЛенСпецСМУ;7802084569;г. Санкт-Петербург, ул. Кременчугская, дом 19 к. 3 лит А; ул кременчугская,;к. 3, литер А;78:06:0002059:3175;Казакова Н.Д.;6324;1;;;severozapadny
г Санкт-Петербург;;59.920140,30.295549;ЖК "Дом на садовой, 73";ООО Диамант Групп;7839383004;Санкт-Петербург, ул. Садовая, д. 73, литер А;литер А;78:32:0001154:1009;Сергеева Е.С.;6822;1;;;severozapadny
г Санкт-Петербург;;59.9204,30.3701;ЖК "Царская столица корпус 6б 6в";ЗАО ЛенСпецСМУ;7802084569;г. Санкт-Петербург, ул.Кременчугская, д. 17, к. 3 лит А; (строительный адрес: Центральный район, ул. Кременчугская, уч. 13);к. 3, литер А;5169270:34:47;Казакова Н.Д.;6322;1;;;severozapadny
г Санкт-Петербург;;59.937076,30.380116;г. Санкт-Петербург, 10-я Советская улица, дом 8;ООО Луга Стил;4707033110;г. Санкт-Петербург, 10-я Советская улица, дом 8;литер А;78:31:000:1420:4;Казакова Н.Д.;2624;1;;;severozapadny
г Санкт-Петербург;;59.939088,30.203466;ЖК "Светлый мир, я, романтик";ООО Вымпел;7811544942;г.Санкт-Петербург, Невская губа, уч.28 (Западнее Васильевского острова, кварт.28);уч. 28;78:43:0000000:10;Смородская;6616;1;;;severozapadny
г Санкт-Петербург;;59.9414,30.2613;ЖК "Две эпохи";ООО Остров Девелопмент;7801106690;Санкт-Петербург, 18-ая линия, В.О., д. 49;к. 4, литер А;78:6:20077:33;Казакова Н.Д.;6299;1;;;severozapadny
г Санкт-Петербург;;59.951813,30.396384;ЖК "Смольный парк";ООО Смольный квартал;7838345550;г.Санкт-Петергбург, ул.Смольного, д.4;д. 4;78:36:1030А:4;Сергеева Е.С.;6776;1;;;severozapadny
г Санкт-Петербург;;59.957589,30.342673;ЖК "Дом на излучине невы";ООО Денген;7841346401;Санкт-Петербург, Пискаревский пр-т д.3;д.3;78:11:6068:35:71;Макшанова Е.В.;6865;1;;;severozapadny
г Санкт-Петербург;массив Апраксин;59.982402,30.225404;ЖК "Три ветра";ООО ЛСР.Недвижимость-Северо-Запад;7826090547;г. Санкт-Петербург, ул. Савушкина, уч. 151 9квартал 66А Северо-Приморской части Приморский административный район);уч. 151;6,141087963;Сергеева Е.С.;6746;1;;;severozapadny
г Санкт-Петербург;;59.982939,30.243517;ЖК "Stockholm";ООО Приморский, 46;7810510404;г. Санкт-Петербург, Приморский пр., дом 46;литер Е;78:34:4146Д:33;Смородская;6521;1;;;severozapadny
г Санкт-Петербург;;59.9850,30.2718;ЖК "Дибуновская, 34";ООО Дибуновская;7802794671;г.Санкт-Петербург, ул. Дибуновская, д.34;литер А;78:34:4143К:8;Казакова Н.Д.;6349;1;;;severozapadny
г Санкт-Петербург;;60.028096,30.335784;ЖК "Лиственный 1 этап";ООО УК Доход;7826685368;Санкт-Петербург, Луственная ул., д.18, к.1;литер А;78:36:0005359:73;Сергеева Е.С.;6768;1;;;severozapadny
г Санкт-Петербург;;60.031836,30.139919;ЖК "Юнтолово-3";ООО ГлавСтрой-СПб;7839347260;г. Санкт-Петербург, 3-я Конная Лахта, уч. 3, 2 этап, к. 21;к. 21;78:34:4366:4;Сергеева Е.С.;6814;1;;;severozapadny
г Санкт-Петербург;;60.032588,30.147065;ЖК "Юнтолово";ООО ГлавСтрой-СПб;7839347260;г. Санкт-Петербург, 3-я Конная Лахта, уч. 2, к. 3;к. 3;78:34:4366:3;Сергеева Е.С.;6794;1;;;severozapadny
г Санкт-Петербург;;60.033036,30.452160;ЖК "Новая охта";ООО ЛСР.Недвижимость-Северо-Запад;7826090547;г. Санкт-Петербург, территория предприятия "Ручьи", уч. 11 (71.1);д. 71.1;78:11:0005608:1146;Сергеева Е.С.;6738;1;;;severozapadny
г Санкт-Петербург;п Парголово;60.069885,30.325956;ЖК "Бумеранг";ЗАО Трест-36;7830000539;г. Санкт-Петербург, поселок Парголово, ул. Михаила Дудина, дом 10;д. 10;78:36:13101А:36;Сергеева Е.С.;6769;1;;;severozapadny
